Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
49629,50622.74999999999,27000,23400,9000
4963,27327.050000000003,25200,18000,1800
49630,73042.5,23400,23400,12600
49631,42880.349999999984,25200,23400,3600
49632,36294.35,19800,14400,3600
49633,37096.1,18000,12600,7200
49634,36663.1,19800,14400,5400
49635,36228.24999999999,25200,18000,5400
49636,50700.70000000001,25200,23400,12600
49637,41627.5,27000,21600,3600
49638,54504.15,27000,23400,9000
49639,46740.39999999999,27000,19800,3600
4964,50194.95,25200,23400,7200
49640,53554.40000000001,25200,21600,7200
49641,38278.7,21600,19800,3600
49642,64721.04999999999,23400,21600,12600
49643,49841,21600,21600,9000
49644,51728.2,23400,16200,7200
49645,86808.59999999998,28800,25200,14400
49646,33913.4,28800,23400,1800
49647,19878.399999999994,19800,12600,1800
49648,34147.45,28800,14400,5400
49649,39091.3,27000,19800,5400
4965,22559.849999999995,10800,7200,3600
49650,28400.1,23400,12600,3600
49651,45047.45,23400,23400,7200
49652,32316.25,27000,21600,1800
49653,77906.75000000001,23400,23400,16200
49654,30329.95,19800,18000,3600
49655,48284.8,19800,14400,9000
49656,48611.7,25200,19800,10800
49657,49955.54999999999,23400,21600,5400
49658,37900.45,19800,19800,7200
49659,30771.150000000005,16200,16200,1800
4966,57079.45,28800,25200,9000
49660,41460.35,19800,16200,7200
49661,31003.950000000004,25200,18000,1800
49662,41331.59999999999,30600,23400,3600
49663,50887.2,30600,23400,7200
49664,43730.850000000006,19800,14400,10800
49665,39182.95,21600,14400,9000
49666,38668.8,21600,14400,7200
49667,59847.75000000001,25200,19800,12600
49668,43007.84999999999,28800,19800,5400
49669,18011.6,14400,10800,1800
4967,40139.5,23400,19800,7200
49670,48227.49999999999,23400,19800,7200
49671,36834.5,19800,12600,5400
49672,41227.399999999994,27000,18000,7200
49673,34865.450000000004,27000,19800,1800
49674,26054.099999999995,21600,16200,1800
49675,53766.65,25200,18000,12600
49676,53959.09999999999,23400,19800,9000
49677,44806.69999999998,25200,21600,7200
49678,50290.2,28800,25200,5400
49679,42020.84999999999,16200,16200,9000
4968,46115.24999999999,19800,16200,9000
49680,39293,12600,12600,10800
49681,39128.35,21600,16200,5400
49682,34859.99999999999,12600,10800,3600
49683,34178.3,23400,16200,1800
49684,56494.95000000001,28800,23400,10800
49685,41722.65,25200,18000,7200
49686,62630.4,28800,25200,7200
49687,50804.65000000001,27000,23400,9000
49688,74713.45,21600,21600,10800
49689,72240.59999999999,25200,23400,5400
4969,68823.05,19800,18000,10800
49690,31786.049999999996,14400,10800,1800
49691,50149.20000000001,21600,18000,9000
49692,58895.5,19800,18000,10800
49693,36463.7,19800,14400,7200
49694,38108.85,19800,18000,7200
49695,40180.19999999999,27000,18000,5400
49696,37557.49999999999,23400,12600,7200
49697,57606.2,28800,19800,9000
49698,48985.90000000001,23400,21600,7200
49699,47095.35,16200,14400,7200
4970,40482.5,18000,18000,7200
49700,65937.44999999998,23400,21600,9000
49701,47504.35000000001,27000,21600,7200
49702,34436.8,16200,12600,5400
49703,46708.19999999999,27000,23400,5400
49704,40916.6,25200,21600,3600
49705,76931.75000000001,25200,23400,12600
