Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0461,40772.2,19800,16200,9000
0462,42270.649999999994,27000,18000,7200
0463,43396.49999999999,25200,19800,7200
0464,48160.1,19800,18000,9000
0465,58754.79999999999,25200,19800,7200
0466,42287.600000000006,23400,19800,5400
0467,52320.100000000006,19800,18000,9000
0468,38322.54999999999,21600,19800,5400
0469,62151.94999999998,27000,19800,9000
0470,39676.04999999999,23400,19800,5400
0471,56967.99999999998,19800,18000,9000
0472,49833.99999999999,16200,14400,7200
0473,46788.19999999999,21600,19800,5400
0474,38608.2,23400,18000,7200
0475,49983.34999999999,23400,18000,9000
0476,54621.4,23400,18000,9000
0477,38357.4,18000,18000,7200
0478,37243.1,18000,16200,7200
0479,38098.79999999999,25200,21600,3600
0480,41343.149999999994,19800,18000,7200
0481,46687.749999999985,18000,18000,5400
0482,40239.3,21600,19800,5400
0483,57582.7,25200,21600,5400
0484,47375.99999999999,19800,16200,7200
0485,51760.75,27000,21600,9000
0486,38651.59999999999,21600,18000,7200
0487,38479.24999999999,25200,21600,3600
0488,45904.850000000006,23400,18000,9000
0489,44950.49999999999,25200,23400,5400
0490,35762.75,23400,16200,5400
0491,45047.85,27000,19800,7200
0492,51517.54999999999,23400,19800,7200
0493,42149.20000000001,25200,19800,7200
0494,51308.29999999999,25200,19800,9000
0495,50218.29999999999,21600,16200,7200
0496,36379.4,21600,16200,7200
0497,39267.85,21600,16200,5400
0498,48496.95,23400,18000,10800
0499,44501.7,23400,16200,9000
0500,49156.59999999999,19800,16200,7200
0501,47239.35,23400,19800,7200
0502,40462.6,23400,19800,5400
0503,52117.69999999999,23400,18000,7200
0504,56000.74999999999,21600,19800,7200
0505,38496.29999999999,19800,12600,7200
0506,43636.15,21600,19800,5400
0507,38985.85,25200,23400,3600
0508,38375.5,25200,16200,7200
0509,45124.949999999975,21600,18000,5400
0510,40142.95000000001,23400,19800,5400
0511,42459.05,23400,19800,5400
0512,39593.399999999994,25200,18000,5400
0513,51892.45000000001,23400,19800,7200
0514,31212,14400,12600,5400
0515,45890.10000000001,23400,19800,7200
0516,39054.19999999999,21600,16200,5400
0517,49674.499999999985,21600,14400,7200
0518,33158.450000000004,21600,21600,3600
0519,43572.04999999999,23400,19800,5400
0520,33060.85,23400,18000,1800
0521,49778.54999999999,25200,19800,7200
0522,44476.85,21600,18000,9000
0523,49724.29999999999,18000,18000,5400
0524,42966.04999999999,25200,18000,7200
0525,42561.79999999999,23400,18000,5400
0526,51385.79999999999,19800,16200,7200
0527,38513.35,19800,18000,7200
0528,58841.399999999994,21600,21600,7200
0529,49589.70000000001,19800,14400,9000
0530,58719.64999999999,25200,21600,7200
0531,44780.59999999999,25200,21600,5400
0532,45912.70000000001,23400,19800,7200
0533,29424.450000000004,19800,18000,3600
0534,37711,25200,18000,5400
0535,38232.24999999999,19800,16200,7200
0536,43600.6,23400,19800,7200
0537,53879.74999999999,23400,19800,7200
0538,47722.24999999999,19800,16200,7200
0539,34933.7,21600,16200,5400
